name,birth_date,age,nationality,team,position,image_url
Dan Ndoye,2000-06-15,25,Switzerland,Nottingham Forest,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/365108-1718218474.jpg?lm=1
Diogo Costa,1999-06-15,26,Portugal,FC Porto,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/357153-1716296015.jpg?lm=1
Fabián Ruiz,1996-06-15,29,Spain,Paris Saint-Germain,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/350219-1718958379.jpg?lm=1
Matthijs de Ligt,1999-06-15,26,Netherlands,Manchester United,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/326031-1700659567.jpg?lm=1
Marcus Rashford,1997-06-15,28,England,FC Barcelona,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/258923-1674473054.jpg?lm=1
Gregor Kobel,1997-06-15,28,Switzerland,Borussia Dortmund,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/257814-1709559904.jpg?lm=1
Bruno Fernandes,1994-06-15,31,Portugal,Manchester United,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/240306-1683882766.jpg?lm=1
Matheus Nunes,1998-06-15,27,Portugal,Manchester City,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/601883-1761076097.jpg?lm=1
Jeremie Frimpong,2000-06-15,25,Netherlands,Liverpool FC,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/484547-1689710682.jpg?lm=1
Vitor Roque,2005-06-15,20,Brazil,Sociedade Esportiva Palmeiras,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/943837-1744743482.jpg?lm=1
Archie Gray,2006-06-15,19,England,Tottenham Hotspur,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/922693-1695108880.jpg?lm=1
Jorrel Hato,2006-06-15,19,Netherlands,Chelsea FC,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/904802-1701361717.jpg?lm=1
Santiago Castro,2004-06-15,21,Argentina,Bologna FC 1909,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/849520-1724827267.jpg?lm=1
Dango Ouattara,2002-06-15,23,Burkina Faso,Brentford FC,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/823231-1737452292.jpg?lm=1
Abdukodir Khusanov,2004-06-15,21,Uzbekistan,Manchester City,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/763079-1740493347.jpg?lm=1
Igor Thiago,2001-06-15,24,Brazil,Brentford FC,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/739443-1707939484.jpg?lm=1
Rico Lewis,2004-06-15,21,England,Manchester City,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/701057-1684856684.jpg?lm=1
Matías Soulé,2003-06-15,22,Argentina,AS Roma,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/668951-1725529266.jpg?lm=1
Igor Paixão,2000-06-15,25,Brazil,Olympique Marseille,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/653610-1723200804.jpg?lm=1
Jhon Durán,2003-06-15,22,Colombia,Fenerbahce,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/649317-1765458556.png?lm=1
Cristhian Mosquera,2004-06-15,21,Spain,Arsenal FC,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/646750-1749739359.jpg?lm=1
