name,birth_date,age,nationality,team,position,image_url
Aurélien Tchouaméni,2000-06-15,25,France,Real Madrid,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/413112-1668500754.jpg?lm=1
Bryan Mbeumo,1999-06-15,26,Cameroon,Manchester United,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/413039-1668505084.jpg?lm=1
Victor Osimhen,1999-06-15,26,Nigeria,Galatasaray,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/401923-1737730981.jpg?lm=1
Sandro Tonali,2000-06-15,25,Italy,Newcastle United,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/397033-1688389270.jpg?lm=1
Rodri,1996-06-15,29,Spain,Manchester City,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/357565-1682587890.jpg?lm=1
Marcus Thuram,1997-06-15,28,France,Inter Milan,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/318528-1746041509.jpg?lm=1
Martin Ødegaard,1999-06-15,26,Norway,Arsenal FC,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/316264-1678877651.jpg?lm=1
Harry Kane,1993-06-15,32,England,Bayern Munich,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/132098-1700211169.jpg?lm=1
Dean Huijsen,2005-06-15,20,Spain,Real Madrid,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/890290-1750251451.jpg?lm=1
Bradley Barcola,2002-06-15,23,France,Paris Saint-Germain,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/708265-1653406915.jpg?lm=1
Fermín López,2003-06-15,22,Spain,FC Barcelona,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/636703-1698086824.jpg?lm=1
Matheus Cunha,1999-06-15,26,Brazil,Manchester United,Second Striker,https://img.a.transfermarkt.technology/portrait/medium/517894-1696599737.jpg?lm=1
Morgan Rogers,2002-06-15,23,England,Aston Villa,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/503743-1706786450.jpg?lm=1
Luis Díaz,1997-06-15,28,Colombia,Bayern Munich,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/480692-1757938077.jpg?lm=1
Josko Gvardiol,2002-06-15,23,Croatia,Manchester City,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/475959-1713391602.jpg?lm=1
Nick Woltemade,2002-06-15,23,Germany,Newcastle United,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/455661-1723707419.jpg?lm=1
Cody Gakpo,1999-06-15,26,Netherlands,Liverpool FC,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/434675-1682690965.jpg?lm=1
Jurriën Timber,2001-06-15,24,Netherlands,Arsenal FC,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/420243-1702413077.jpg?lm=1
Rafael Leão,1999-06-15,26,Portugal,AC Milan,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/357164-1730126553.jpg?lm=1
Viktor Gyökeres,1998-06-15,27,Sweden,Arsenal FC,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/325443-1737581896.jpg?lm=1
Trent Alexander-Arnold,1998-06-15,27,England,Real Madrid,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/314353-1701680958.jpg?lm=1
Willian Pacho,2001-06-15,24,Ecuador,Paris Saint-Germain,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/661171-1696508666.jpg?lm=1
João Pedro,2001-06-15,24,Brazil,Chelsea FC,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/626724-1724792744.jpg?lm=1
Antoine Semenyo,2000-06-15,25,Ghana,AFC Bournemouth,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/583255-1737452028.jpg?lm=1
Micky van de Ven,2001-06-15,24,Netherlands,Tottenham Hotspur,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/557459-1744313600.jpg?lm=1
Jérémy Doku,2002-06-15,23,Belgium,Manchester City,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/486049-1743670159.jpg?lm=1
Eberechi Eze,1998-06-15,27,England,Arsenal FC,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/479999-1761083931.jpg?lm=1
Tijjani Reijnders,1998-06-15,27,Netherlands,Manchester City,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/460939-1676466080.jpg?lm=1
Omar Marmoush,1999-06-15,26,Egypt,Manchester City,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/445939-1747656490.jpg?lm=1
Morgan Gibbs-White,2000-06-15,25,England,Nottingham Forest,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/429014-1687975822.jpg?lm=1
Jules Koundé,1998-06-15,27,France,FC Barcelona,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/411975-1702502639.jpg?lm=1
Nicolò Barella,1997-06-15,28,Italy,Inter Milan,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/255942-1725531625.jpg?lm=1
Carlos Baleba,2004-06-15,21,Cameroon,Brighton & Hove Albion,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/973085-1666690662.jpg?lm=1
Álvaro Carreras,2003-06-15,22,Spain,Real Madrid,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/811778-1737497415.jpg?lm=1
Pablo Barrios,2003-06-15,22,Spain,Atlético de Madrid,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/775605-1699431384.jpg?lm=1
Adam Wharton,2004-06-15,21,England,Crystal Palace,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/744149-1716297290.jpg?lm=1
Nico Williams,2002-06-15,23,Spain,Athletic Bilbao,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/709187-1709676169.png?lm=1
Alejandro Balde,2003-06-15,22,Spain,FC Barcelona,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/636688-1662836200.jpg?lm=1
Benjamin Sesko,2003-06-15,22,Slovenia,Manchester United,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/627442-1713897956.jpg?lm=1
Elliot Anderson,2002-06-15,23,England,Nottingham Forest,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/567576-1696453772.jpg?lm=1
Xavi Simons,2003-06-15,22,Netherlands,Tottenham Hotspur,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/566931-1729778226.jpg?lm=1
Anthony Gordon,2001-06-15,24,England,Newcastle United,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/503733-1761080304.jpg?lm=1
Karim Adeyemi,2002-06-15,23,Germany,Borussia Dortmund,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/496094-1712859708.jpg?lm=1
Pedro Neto,2000-06-15,25,Portugal,Chelsea FC,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/487465-1763106447.jpg?lm=1
Rodrygo,2001-06-15,24,Brazil,Real Madrid,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/412363-1763041611.jpg?lm=1
Cristian Romero,1998-06-15,27,Argentina,Tottenham Hotspur,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/355915-1665609429.jpg?lm=1
Dayot Upamecano,1998-06-15,27,France,Bayern Munich,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/344695-1701245272.jpg?lm=1
Christian Pulisic,1998-06-15,27,United States,AC Milan,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/315779-1691696699.jpg?lm=1
Dani Olmo,1998-06-15,27,Spain,FC Barcelona,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/293385-1711546268.jpg?lm=1
Rúben Dias,1997-06-15,28,Portugal,Manchester City,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/258004-1684921271.jpg?lm=1
Murillo,2002-06-15,23,Brazil,Nottingham Forest,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/1005649-1709159139.jpg?lm=1
Nico Paz,2004-06-15,21,Argentina,Como 1907,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/948294-1699472504.jpg?lm=1
Leny Yoro,2005-06-15,20,France,Manchester United,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/923831-1747857948.jpg?lm=1
Aleksandar Pavlovic,2004-06-15,21,Germany,Bayern Munich,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/792380-1727098078.jpg?lm=1
Ilya Zabarnyi,2002-06-15,23,Ukraine,Paris Saint-Germain,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/659089-1760065378.jpg?lm=1
Álex Baena,2001-06-15,24,Spain,Atlético de Madrid,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/548111-1761821030.jpg?lm=1
Mohammed Kudus,2000-06-15,25,Ghana,Tottenham Hotspur,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/543499-1668429218.jpg?lm=1
Marc Guéhi,2000-06-15,25,England,Crystal Palace,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/392757-1683030598.jpg?lm=1
Kai Havertz,1999-06-15,26,Germany,Arsenal FC,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/309400-1683903902.jpg?lm=1
Franco Mastantuono,2007-06-15,18,Argentina,Real Madrid,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/1057316-1755702696.jpg?lm=1
Samu Aghehowa,2004-06-15,21,Spain,FC Porto,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/991268-1732829288.jpg?lm=1
Warren Zaïre-Emery,2006-06-15,19,France,Paris Saint-Germain,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/810092-1672303575.jpg?lm=1
Nicolas Jackson,2001-06-15,24,Senegal,Bayern Munich,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/776890-1757939139.jpg?lm=1
Piero Hincapié,2002-06-15,23,Ecuador,Arsenal FC,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/659813-1727377918.jpg?lm=1
Eduardo Camavinga,2002-06-15,23,France,Real Madrid,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/640428-1668500874.jpg?lm=1
Manu Koné,2001-06-15,24,France,AS Roma,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/624690-1757931309.jpg?lm=1
Levi Colwill,2003-06-15,22,England,Chelsea FC,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/614258-1694614507.jpg?lm=1
Rayan Cherki,2003-06-15,22,France,Manchester City,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/607223-1672831487.jpg?lm=1
